,GRTS.Cell.ID,Quadrant,Night,LACI,LANO,MYCA,MYEV,MYLU,MYVO,MYYU,NoID,Year,Lat,Long,sset,srise,mrise,mset,GRTS_ID,Name,SiteName,Elevation,Habitat.Type,Feature.Sampled,Distance.to.Clutter..m.,Percent.Clutter,Water.Nearby,WaterDist,WaterType,Region,nightlen,observationtime,mtime,mtime2h,Nightly.Mean.Temp,Nightly.Min.Temp,Nightly.Max.Temp,Nightly.Mean.RH,Nightly.Min.RH,Nightly.Max.RH,Nightly.Precipitation,Nightly.Mean.Windsp,ddclim,WeatherSource,strm_dist,lake_dist,harv_dist,harv_year,road_dist,rnum,Fullcount,jNight,jNightM15,Habitat2,Count,SpeciesGroup,SpeciesFullPool,SpeciesSingleton,SpeciesPartPool,Site_key,Tlength
3,206,Transects,2019-07-02,0,0,0,1,1,0,0,4,2019,55.87387,-133.21478,2019-07-02 21:40,2019-07-03 04:13,NA,2019-07-02T21:49:59,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.273391204,0.31505787,0.006724537,0,12.52857143,12.2,13.3,96.14285714,90,100,0,1.071428571,188.1810593,NA,NA,NA,NA,NA,NA,250,6,183,48,NA,2,LACI,0,0,0,206,48.88809967
4,206,Transects,2019-07-03,0,0,0,0,0,0,0,1,2019,55.87387,-133.21478,2019-07-03 21:39,2019-07-04 04:14,NA,2019-07-03T22:39:46,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.274456019,0.316122685,0.041689815,0,13.72857143,13.3,13.9,93,89,97,0,0.642857143,193.1810593,NA,NA,NA,NA,NA,NA,251,1,184,49,NA,0,LACI,0,0,0,206,48.88809967
5,206,Transects,2020-06-30,0,1,0,0,0,0,0,3,2020,55.87387,-133.21478,2020-06-30 21:40,2020-07-01 04:12,NA,2020-07-01T01:57:28,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.272164352,0.313831019,0.178136574,0.094803241,10.74285714,10.6,11.1,88.14285714,86,89,0,2.650793651,110.319889,NA,NA,NA,NA,NA,NA,252,4,182,47,NA,1,LACI,0,0,0,206,48.88809967
6,206,Transects,2020-07-07,0,0,0,0,0,0,0,10,2020,55.87387,-133.21478,2020-07-07 21:36,2020-07-08 04:20,2020-07-07T23:30:20,NA,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.280590278,0.322256944,0.201284722,0,12.54285714,12.2,12.8,89,87,93,NA,0.301587302,140.569889,NA,NA,NA,NA,NA,NA,253,10,189,54,NA,0,LACI,0,0,0,206,48.88809967
7,206,Transects,2021-07-29,0,1,0,0,2,0,0,6,2021,55.87387,-133.21478,2021-07-29 21:04,2021-07-30 04:54,2021-07-29T23:19:18,NA,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.326481481,0.368148148,0.232893519,0.01025463,14.76666667,12.8,17.2,92.22222222,84,97,0,0.077160494,230.3520354,NA,NA,NA,NA,NA,NA,254,9,210,75,NA,3,LACI,0,0,0,206,48.88809967
8,206,Transects,2022-07-13,0,0,0,2,0,1,0,22,2022,55.87387,-133.21478,2022-07-13 21:30,2022-07-14 04:27,2022-07-13T22:28:25,NA,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.28974537,0.331412037,0.249409722,0,11.9,11.7,12.8,87.57142857,83,89,4,0.587301587,190.9742769,NA,NA,NA,NA,NA,NA,255,25,194,59,NA,3,LACI,0,0,0,206,48.88809967
9,206,Transects,2022-07-14,0,0,1,0,0,0,0,33,2022,55.87387,-133.21478,2022-07-14 21:29,2022-07-15 04:29,2022-07-14T22:56:15,NA,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.291608796,0.333275463,0.231087963,0,12.925,12.2,13.9,90.125,87,94,4,1.229166667,194.7742769,NA,NA,NA,NA,NA,NA,256,34,195,60,NA,1,LACI,0,0,0,206,48.88809967
10,206,Transects,2023-06-15,0,14,0,1,0,1,0,2,2023,55.87387,-133.21478,2023-06-15 21:40,2023-06-16 04:06,2023-06-16T02:43:29,NA,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.268506944,0.310173611,0.057847222,0.127326389,11.12857143,10.6,12.2,88.42857143,86,90,2,3.908730159,108.5320282,NA,NA,NA,NA,NA,NA,257,18,166,31,NA,16,LACI,0,0,0,206,48.88809967
11,206,Transects,2024-06-25,0,5,0,0,0,0,0,0,2024,55.87387,-133.21478,2024-06-25 21:42,2024-06-26 04:09,2024-06-26T00:19:02,NA,206,POW,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.268611111,0.310277778,0.159872685,0.025405093,12.78571429,12.2,13.3,89.42857143,80,93,1,0,110.8166404,NA,NA,NA,NA,NA,NA,258,5,177,42,NA,5,LACI,0,0,0,206,48.88809967
12,5006,Transects,2019-07-02,0,1,1,0,5,4,0,16,2019,56.59215,-132.7485,2019-07-02 21:43,2019-07-03 04:06,NA,2019-07-02T21:53:01,5006,Petersburg,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.265856481,0.307523148,0.006354167,0,16.125,15.6,16.7,86.75,84,90,0,0.902777778,196.0917564,NA,NA,NA,NA,NA,NA,561,27,183,48,NA,11,LACI,0,0,0,5006,49.30189896
13,5006,Transects,2019-07-06,0,0,3,1,8,2,0,4,2019,56.59215,-132.7485,2019-07-06 21:41,2019-07-07 04:11,NA,2019-07-07T00:06:28,5006,Petersburg,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.270821759,0.312488426,0.10099537,0.017662037,16.81428571,15,18.9,79.14285714,70,87,0,1.453703704,225.4417564,NA,NA,NA,NA,NA,NA,562,18,187,52,NA,14,LACI,0,0,0,5006,49.30189896
14,5006,Transects,2020-06-24,0,1,0,0,2,2,0,4,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,NA,2020-06-25T00:21:57,5006,Petersburg,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,NA,NA,NA,NA,NA,NA,563,9,176,41,NA,5,LACI,0,0,0,5006,49.30189896
15,5006,Transects,2020-06-25,0,0,0,1,1,2,0,11,2020,56.59215,-132.7485,2020-06-25 21:46,2020-06-26 04:01,NA,2020-06-26T00:40:43,5006,Petersburg,NA,NA,NA,NA,NA,NA,NA,,NA,Alaska,0.260844907,0.302511574,0.121203704,0.03787037,10.8,10.6,11.1,86.71428571,83,92,1,4.111111111,87.66385139,NA,NA,NA,NA,NA,NA,564,15,177,42,NA,4,LACI,0,0,0,5006,49.30189896
